Stock,Alpha,Beta,Alpha_tstat,Beta_tstat,Beta_test_tstat,Beta_pvalue_not_one,Alpha_pvalue,Beta_pvalue,R_squared,N_observations
IFX.DE,-0.000220100020660579,1.0049078055592149,-0.5276652782082182,208.21719324109097,1.0168987571392991,0.3093743339404491,0.5978138813629335,0.0,0.9681989527550253,1426
KCO.DE,-0.00042575200142513675,1.00349917736946,-0.9225309297216081,187.9287359131872,0.655302958496126,0.5123785612331089,0.3564079814391028,0.0,0.9612424302723855,1426
KGX.DE,-0.000275808145901053,1.0107431145771568,-0.5037387708471314,159.54787164560446,1.6958226486136447,0.09013805944568487,0.6145228776270577,0.0,0.9470228700994474,1426
KRN.DE,1.1700541648755026e-05,1.006544145081955,0.03825392442007514,284.41650138854664,1.8491616665627284,0.06464160385680229,0.9694905888400882,0.0,0.9827009683367962,1426
LEG.DE,-0.0005442229954531489,0.9903901652685316,-1.2107893654363466,190.43639990034464,-1.8478195705850264,0.0648357110330402,0.22617705652554262,0.0,0.9622181174470361,1426
LHA.DE,0.00010554797376672205,1.0041357155975688,0.26613186227619734,218.82217042527563,0.9012589127786346,0.3676030756716542,0.7901761840783385,0.0,0.9711198026400905,1426
MBG.DE,-0.00017682883310536136,1.0011005362377228,-0.6143574439023192,300.60601891143773,0.3304641293400077,0.7410979051104123,0.5390772917362174,0.0,0.9844859858379071,1426
MTX.DE,0.0003518283259452334,1.0119381299583103,1.0096761569990789,250.99044791190906,2.961007690846016,0.0031171128967777406,0.312821998403648,0.0,0.977895133968302,1426
MUV2.DE,0.000391024358428394,0.9970711952517344,1.4699569812825386,323.9506959288628,-0.9515753147405508,0.3414738867447511,0.1417943059383356,0.0,0.9866125217621359,1426
NDX1.DE,0.00044746290234259467,0.9853391161442612,0.7070413314796826,134.56292688432384,-2.0021649501332828,0.045456344912750746,0.4796564755969027,0.0,0.9270909435156947,1426
NEM.DE,-0.00022930175323286273,1.001201579536885,-0.49755444156498785,187.76156326992944,0.22533968867990717,0.8217473599277607,0.618874940535701,0.0,0.9611760649375087,1426
PAT.DE,-0.0007314262961163269,0.9975059031959457,-1.476459249607202,174.02766924013778,-0.43512710278526484,0.6635361091580616,0.14004174202803038,0.0,0.9550925061182773,1426
PBB.DE,-0.0006849265973011796,1.0020007793893284,-1.4934714766256874,188.8308269046814,0.3770544238208914,0.7061893413068214,0.13553534474359916,0.0,0.9615976677507719,1426
PFV.DE,-0.0003844151951339696,0.9916912190827891,-1.1739540969311313,261.7453480280964,-2.1930059589274333,0.028468209856013615,0.24060971059770367,0.0,0.9796381269662673,1426
PUM.DE,-0.0013215342122676285,1.0056787011944675,-2.294360577706921,150.9018096262097,0.8520875360628261,0.39430878754039744,0.02191475316149706,0.0,0.9411457309715876,1426
QIA.DE,-0.00041993316646171653,0.9910758914618993,-1.3547530112348447,276.336844670551,-2.488265546726867,0.01295037626662765,0.1757111529767619,0.0,0.9816933760170714,1426
RHK.DE,-0.0003535378169697314,0.9821377111488108,-0.7295254859743093,175.15757096862106,-3.1856175479246343,0.0014757729608618764,0.46580026166671773,0.0,0.9556443978160913,1426
RHM.DE,0.002072964126389543,0.9793535437136609,3.438424013934097,140.3974041811187,-2.959818634187187,0.0031290934859729003,0.000601988022097558,0.0,0.9326249844060978,1426
RRTL.DE,-0.00023465455264353016,0.9972870327085153,-0.7033967015094886,258.3708114822554,-0.7028583924550037,0.4822588872296021,0.48192354852105557,0.0,0.9791139492582815,1426
RWE.DE,1.814651869828629e-05,0.9947456872007251,0.0512939280694666,243.0169898072582,-1.2836318834201483,0.19947962396522856,0.9590985003896372,0.0,0.9764555159276361,1426
S92.DE,0.00024650972431356546,0.9943755325409347,0.2735420082021212,95.36573027811572,-0.5394153708595804,0.589684606390589,0.7844762735668191,0.0,0.8646210567547148,1426
SANT.DE,0.0001792202335315349,1.0015052374969247,0.3390572251557152,163.75370075901685,0.2461177449842436,0.805626556937441,0.7346166127844833,0.0,0.949573775368022,1426
SAP.DE,0.00019934635442359563,1.0037574831745535,0.763901913115807,332.4375171937282,1.2444523686091875,0.21353790104294212,0.4450522469772282,0.0,0.9872787519964231,1426
SDF.DE,-0.0002937285791026604,0.9912745902996363,-0.5572342633180921,162.53148982706202,-1.430636729549322,0.1527537477138674,0.577454956003925,0.0,0.9488514661107074,1426
SGL.DE,-0.0008633407386922497,1.0036510008710973,-1.8423698080627178,185.1097224801579,0.6733772570714844,0.5008165849501021,0.06562886210832888,0.0,0.9601004318716806,1426
SHL.DE,-0.0005169690276793391,0.9969462952101233,-1.5760790924091133,262.6861535416981,-0.8046230465558706,0.4211715512991203,0.11522969487074695,0.0,0.9797807733940563,1426
SIE.DE,0.00014124125728022781,1.0033958001024865,0.5359701395186405,329.0813216394303,1.1137124409285326,0.2655905191387915,0.5920628927417833,0.0,0.987021333785357,1426
SIX2.DE,-0.0005666773890611063,1.0078955351362195,-1.4270079976674555,219.36027326985186,1.7183990648978884,0.08594121659822807,0.1537968142096306,0.0,0.9712572507381607,1426
STM.DE,-0.0009087227051127257,1.0048012031031381,-1.9872876754460564,189.9159500892139,0.907468110197085,0.36431284373082695,0.047081832729958126,0.0,0.962018632947458,1426
SY1.DE,-0.0006544509517352115,0.9862533232322217,-1.9468732851734716,253.57182482960113,-3.534355556769538,0.00042185116097126496,0.051746319951545335,0.0,0.9783331992983143,1426
SZG.DE,0.0001568725689924788,1.0072858303870735,0.23648158073226924,131.23659985909785,0.9492515215688035,0.3426537719972673,0.8130930092211474,0.0,0.9236340133725224,1426
SZU.DE,-0.00035148675369056485,0.9876387523855175,-0.9952770925090155,241.7047037644319,-3.025166525311715,0.002529475126287206,0.3197706051479729,0.0,0.9762052618948627,1426
TEG.DE,-0.00036496760232818055,0.9999347835509085,-0.6643731230856554,157.31906286643897,-0.010260459805309426,0.9918149183914682,0.5065590931407147,0.0,0.9455933841799646,1426
TKA.DE,0.00010858079100801719,1.0078012360616633,0.1740678833031048,139.63441440729503,1.0808887607444575,0.27992961816168926,0.8618368551949034,0.0,0.9319369240120354,1426
TLX.DE,0.0005495579605613344,0.9966126502656892,1.925991266058605,301.86943363653677,-1.0260128100447679,0.30505979879555767,0.054304345525219254,0.0,0.9846135818252123,1426
TTK.DE,-0.0008948951293553565,0.9988555678177852,-1.9983351440927826,192.7750440119968,-0.22087073587345193,0.8252247477773371,0.045870196114112215,0.0,0.9630956313212777,1426
UTDI.DE,-0.00033158807534054024,0.9965250460866053,-0.7683875516981381,199.5820913974303,-0.6959569880040173,0.4865693346964459,0.44238438033032224,0.0,0.9654846544052818,1426
VNA.DE,-0.0003619150302815126,0.9912874031293305,-0.7622070780189231,180.43379325260776,-1.5858638952669075,0.11299220924522668,0.44606264820160635,0.0,0.9580934321466935,1426
VOW3.DE,-0.0003634879587661707,1.0034400747813648,-1.208739070121623,288.3937919151038,0.9886950258444382,0.32298033954462957,0.22696377441361906,0.0,0.9831668496970963,1426
WAF.DE,-0.000783155899437868,1.0098896479018624,-1.552526971406576,173.02815806173368,1.694430241852158,0.09040221419829164,0.12075839095040905,0.0,0.9545958088517814,1426
WCH.DE,-0.00047327028988822126,0.9955281342661544,-0.9904259439455059,180.06041150285532,-0.8088229317751131,0.4187521141966617,0.3221342290981585,0.0,0.957926772942995,1426
WSU.DE,-0.00017443279160603067,0.9962208355061237,-0.4602142604275218,227.16399375185492,-0.861746782316585,0.3889719618762544,0.6454326985619774,0.0,0.9731459990468817,1426
ZAL.DE,-0.0008079435972850487,1.0130313786247118,-1.3449875670388545,145.75117286278532,1.8749061072020436,0.06101017641960427,0.17884341215860622,0.0,0.9371785152175125,1426
